Group,Name,CourseNumber,StartDate,Days,Time,Period,Credits,Campus,Fee,Teacher,Detail
Computer Programming,"C++ Programming, Comprehensive",CMPR.X404.(807),9/18/2018,Tue,NA,2018.09.18-2018.12.18,3.0,ONLINE,$1020,Suleman Saya,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590581&SectionID=6219747
Computer Programming,"C++ Programming, Comprehensive",CMPR.X404.(806),8/3/2018,Fri,NA,2018.08.03-2018.11.02,3.0,ONLINE,$1020,Suleman Saya,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590581&SectionID=6140675
Computer Programming,Python for Programmers,CMPR.X416.(817),11/13/2018,Tue,NA,2018.11.13-2019.02.12,3.0,ONLINE,$1020,Marilyn Davis,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5591127&SectionID=6224949
Computer Programming,Python for Programmers,CMPR.X416.(816),9/18/2018,Tue,NA,2018.09.18-2018.12.18,3.0,ONLINE,$1020,Marilyn Davis,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5591127&SectionID=6219873
Computer Programming,Python for Programmers,CMPR.X416.(20),12/3/2018,Mon,09:00 AM,2018.12.03-2018.12.15,3.0,SANTA CLARA,$1020,Marilyn Davis,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5591127&SectionID=6217855
Computer Programming,Python for Programmers,CMPR.X416.(19),9/26/2018,Wed,06:30 PM,2018.09.26-2018.12.05,3.0,SANTA CLARA,$1020,Ravishankar N Chityala,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5591127&SectionID=6217777
Computer Programming,Python for Programmers,CMPR.X416.(18),9/8/2018,Sat,09:00 AM,2018.09.08-2018.11.10,3.0,SANTA CLARA,$1020,Min Wu,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5591127&SectionID=6217699
Computer Programming,Python for Programmers,CMPR.X416.(815),8/3/2018,Fri,NA,2018.08.03-2018.11.02,3.0,ONLINE,$1020,Marilyn Davis,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5591127&SectionID=6141083
Computer Programming,Python for Programmers,CMPR.X416.(17),8/20/2018,Mon,09:00 AM,2018.08.20-2018.09.04,3.0,SANTA CLARA,$1020,Marilyn Davis,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5591127&SectionID=6140361
Computer Programming,C Programming for Beginners,CMPR.X400.(11),9/26/2018,Wed,06:30 PM,2018.09.26-2018.11.14,2.0,SANTA CLARA,$620,Wayne L Fenton,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590455&SectionID=6216855
Computer Programming,C Programming for Beginners,CMPR.X400.(808),11/13/2018,Tue,NA,2018.11.13-2019.02.12,2.0,ONLINE,$620,Bineet Sharma,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590455&SectionID=6223203
Computer Programming,C Programming for Beginners,CMPR.X400.(807),9/18/2018,Tue,NA,2018.09.18-2018.12.18,2.0,ONLINE,$620,Bineet Sharma,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590455&SectionID=6219579
Computer Programming,C Programming for Beginners,CMPR.X400.(806),8/3/2018,Fri,NA,2018.08.03-2018.11.02,2.0,ONLINE,$620,Bineet Sharma,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590455&SectionID=6140487
Database and Data Analytics,Database and Data Analytics Info Session,INFO.DBDA.(01),8/20/2018,Mon,06:30 PM,2018.08.20-2018.08.20,,SANTA CLARA,$0,,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=6275161&SectionID=6286639
Database and Data Analytics,Oracle 12c on Linux: Administration for Cloud and Data Center Environments,DBDA.X412.(3),9/8/2018,Sat,09:00 AM,2018.09.08-2018.10.20,3.0,SANTA CLARA,$960,Raghav Vinjamuri,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=6252877&SectionID=6253007
Database and Data Analytics,Oracle 12c on Linux: Advanced Administration for Cloud and Data Center Environments,DBDA.X411.(3),10/27/2018,Sat,09:00 AM,2018.10.27-2018.12.15,3.0,SANTA CLARA,$960,Raghav Vinjamuri,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=6252893&SectionID=6252907
Database and Data Analytics,Python for Data Analysis,DBDA.X420.(1),12/10/2018,Mon,09:00 AM,2018.12.10-2018.12.27,3.0,SANTA CLARA,$1200,Marilyn Davis,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=6240437&SectionID=6240451
Database and Data Analytics,MySQL and Oracle Database for Developers and Designers,DBDA.X409.(3),10/4/2018,Thu,06:30 PM,2018.10.04-2018.11.29,2.0,SANTA CLARA,$740,Mohammad Naveed,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=6227429&SectionID=6232623
Database and Data Analytics,Deep Learning and Artificial Intelligence with TensorFlow,DBDA.X418.(7),10/5/2018,Fri,06:30 PM,2018.10.05-2018.12.14,3.0,SANTA CLARA,$1020,Oswald A Campesato,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5837157&SectionID=6218859
Database and Data Analytics,Deep Learning and Artificial Intelligence with TensorFlow,DBDA.X418.(6),9/25/2018,Tue,06:30 PM,2018.09.25-2018.12.04,3.0,SANTA CLARA,$1020,Ravishankar N Chityala,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5837157&SectionID=6218717
Database and Data Analytics,"Artificial Intelligence, Machine Learning, and the Deep Learning Landscape, Introduction",DBDA.X416.(4),8/25/2018,Sat,09:00 AM,2018.08.25-2018.08.25,0.5,SANTA CLARA,$350,Hien C Luu,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5798273&SectionID=6140251
Database and Data Analytics,Business Intelligence Solutions,DBDA.X402.(2),9/14/2018,Fri,06:30 PM,2018.09.14-2018.11.02,2.0,SANTA CLARA,$740,Michelle Rosenaur,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5594437&SectionID=6218021
Database and Data Analytics,XML Essentials,CMPR.X417.(816),9/18/2018,Tue,NA,2018.09.18-2018.12.18,2.0,ONLINE,$625,Ahmad Nouri,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590987&SectionID=6219983
Database and Data Analytics,XML Essentials,CMPR.X417.(815),8/3/2018,Fri,NA,2018.08.03-2018.11.02,2.0,ONLINE,$625,Ahmad Nouri,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590987&SectionID=6140997
Database and Data Analytics,Introduction to Machine Learning and Data Mining,DBDA.X408.(7),9/5/2018,Wed,06:00 PM,2018.09.05-2018.11.07,3.0,SANTA CLARA,$950,Shashidhar Sathyanarayana,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5607017&SectionID=6218943
Database and Data Analytics,Introduction to Machine Learning and Data Mining,DBDA.X408.(6),10/1/2018,Mon,06:00 PM,2018.10.01-2018.12.10,3.0,SANTA CLARA,$950,Shashidhar Sathyanarayana,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5607017&SectionID=6218273
Database and Data Analytics,Hadoop: Distributed Processing of Big Data,DBDA.X407.(5),9/29/2018,Sat,09:00 AM,2018.09.29-2018.12.08,3.0,SANTA CLARA,$960,Marilson Campos,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5595797&SectionID=6218195
Database and Data Analytics,Python Programming for Beginners,CMPR.X415.(11),10/16/2018,Tue,06:30 PM,2018.10.16-2018.11.20,1.5,SANTA CLARA,$580,Irv Kalb,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5591073&SectionID=6217635
Database and Data Analytics,Python Programming for Beginners,CMPR.X415.(10),9/6/2018,Thu,06:30 PM,2018.09.06-2018.10.11,1.5,SANTA CLARA,$580,Donald J Keidel,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5591073&SectionID=6217539
Database and Data Analytics,Relational Database Design and SQL Programming,DBDA.X415.(817),11/13/2018,Tue,NA,2018.11.13-2019.02.12,3.0,ONLINE,$910,Niket K. Patwardhan,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5594139&SectionID=6225043
Database and Data Analytics,Relational Database Design and SQL Programming,DBDA.X415.(816),9/18/2018,Tue,NA,2018.09.18-2018.12.18,3.0,ONLINE,$910,Niket K. Patwardhan,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5594139&SectionID=6220031
